,Address/City/Postal Code,Weblink,Number of Rooms,Return on Invesment,Purchase Price,Market Price,Pct Below Market Value,Potential Cash Flow,Finders Fee,Current Gross Income,Potential Gross Income,Cash Flow Required
55,"Kingsway Lytham, St. Annes, FY8 1AB",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=413,,,"£457,000",,,,"£10,000",,,"£192,800"
56,"Shepherd Road, Lytham, St Anne’s, Blackpool, FY8 3UG",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=412,,,"£105,000+",,,,"£5,000",,,"£57,500"
57,"Lindsay Avenue, High Wycombe, HP12 3DT",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=411,"  is currently vacant but can easily achieve:
room 1 - (ensuite) - £150 pw
room 2 - £125 pw
room 3 - £125 pw
room 4 - £104 pw
room 5 - £125 pw
room 6 - (ensuite annexe studio) - £150 pw
potential income = £3,375 pcm = £40,508 per annum",20%,"£370,000",,,"£1,995","£5,000",,"£40,508","£118,100"
58,"Gillott Road, Edgbaston, B16 9LR",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=410," 2  are currently let out and produce £12,480 annually.
room 1 – vacant but can be let at £550 pcm
room 2 – vacant but can be let at £550 pcm
room 3 – vacant but can be let at £550 pcm
room 4 – vacant but can be let at £550 pcm
room 5 – vacant but can be let at £550 pcm
room 6 – vacant but can be let at £550 pcm
room 7 – rented at £520 pcm
room 8 – rented at £520 pcm
current income = £1,040 pcm = £12,480 per annum
potential income fully let = £4,340 pcm = £52,080 per annum",20%,"£450,000",,,"£2,615","£6,000",,"()£52,080","£155,500"
59,"Gordon Street, Coventry, Earlsdon, CV1 3ET",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=409,"  single let the property would achieve circa £800 pcm = £9,600 per annum
if 4 rooms were to be rented for an average of £350 pcm this will equate to producing £18,200 annually.
room 1 – single vacant room but can be rented at £80 pw
room 2 – double vacant room but can be rented at £90 pw
room 3 – double vacant room but can be rented at £90 pw
room 4 – double vacant but can be rented at £90 pw
potential income = £1,516 pcm = £18,200 per annum",18%,"£175,000","£190,000",,£814,"£3,000","£9,600","£18,200","£54,000"
60,"Bexhill Road, St Leonards on Sea, TN38 8BL",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=407,"  at £950 pcm = £11,400 per annum",11%,"£200,000","£250,000",20%,£575,"£3,000",,,"£61,500"
61,"Brunswick Street East, Maidstone, ME15 7UX",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=405," 6  are currently let out producing £27,300 annually.
room 1 – currently rented at £85 pw
room 2 – currently rented at £85 pw
room 3 – currently rented at £85 pw
room 4 – currently rented at £90 pw
room 5 – currently rented at £90 pw
room 6 – currently rented at £90 pw
current income = £2,275 pcm = £27,300 per annum",14%,"£270,000","£350,000",23%,"£1,060","£5,000","£27,300","£34,320","£90,100"
62,"Station Road Stanley, DH9 0JL",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=194,"  unit occupied by the hairdressers is currently generating £400 pcm and is a long serving tenant who has been in the premises for over 10 years.
the commercial unit occupied by the dental prosthetic clinic is currently generating £350 pcm and has been a tenant for just over a year.
both tenants are currently on periodical contracts, but the vendor is happy to draw up a commercial lease contracts upon agreement of a sale.
the 4-bedroom house is currently achieving £550 pcm
the 2-bedroom flat is currently achieving £350 pcm ",27%,"£185,000",,,"£1,650","£5,000","£19,800",,"£62,200"
63,"Mason Street, Chester, CH1 4DR",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=329,"  1 - 6 mason street is rented as follows:
6 x double bedrooms @ £95.00 per week
income = £2,470 pcm = £29,640 per annum
property no 2 - 8 mason street is rented as follows:
6 x double bedrooms @ £95.00 per week
income = £2,470 pcm = £29,640 per annum
property no 3 - 10 mason street is rented as follows:
4 x double bedrooms @ £95.00 per week
3 x single bedrooms @ £85.00 per week
income = £2,750 pcm = £33,020 per annum
3 x parking spaces to rear of property at £150 pcm = £1800 per annum
current income fully let = £7,840 pcm = £94,080 per annum",,"£825,000(3)",,,"£4,542","£15,000","£94,080",,"£282,250"
64,"Claremont Street, Lincoln, LN2 5BN",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=397,"  is currently rented out as follows:
room 1 - 14 sqm - rented since march 2018 for £325 pcm
room 2 - 15 sqm - rented since june 2019 for £325 pcm
room 3 - 8 sqm - currently vacant - but previous rented £390 pcm
room 4 - 6.5 sqm - rented since november 2019 for £360 pcm
income fully let = £1,400 pcm = £16,800 per annum",20%,"£140,000",,,£750,"£4,000",,"£16,800","£45,500"
65,"Woodbine Terrace, Stanley, DH9 7JG",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=393,"  are currently achieving
woodbine terrace
ground floor flat - currently rented - achieving £325 pcm
first floor flat - currently rented - achieving £325 pcm
palmer street
ground floor flat - currently vacant - potential to achieve £350 pcm
first floor flat 2 - currently vacant - potential to achieve £350 pcm
potential income = £1,350 pcm = £16,200 per annum",35%,"£107,995",,,"£1,080","£6,000",,,"£37,240"
66,"Ellis Road, Horsham, RH12 3GH",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=391,"  and producing an income = £965 pcm = £11,580 per annum",12%,"£155,000","£225,000+",,£965,"£5,000",,"£11,580","£50,000"
67,"Woodfields, Stanstead, Essex, CM24 8AL",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=390,"  can potentially generate an income as a single let:
£1,500 pcm = £18,000 per annum
however, looking at the market if the property is converted to a 4/5 bed hmo:
room 1 = £500 pcm
room 2 = £500 pcm
room 3 = £500 pcm
room 4 = £500 pcm
room 5 = £500 pcm
potential income as a hmo = £2,500 per month = £30,000 per annum",,"£365,500","£430,000",15%,£586,"£3,000",,"£30,000","£114,615£124,615"
68,"Aderlaide Road, High Wycombe, HP13 6UW",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=389,"  can potentially generate an income as a single let:
£1,250 pcm = £15,000 per annum
however, looking at the market if the property is converted to a 4 bed hmo:
room 1 = £500 pcm
room 2 = £500 pcm
room 3 = £500 pcm
room 4 = £500 pcm
potential income = £2,000 per month = £24,000 per annum",,"£310,250","£365,000",15%,£964,"£3,000",,"£24,000","£96,412£106,412"
69,"Ashbrooke Mount, Sunderland, SR2 7SD",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=349,"  are let as follows :
room 1 - rented at £73.84 pw
room 2 - rented at £73.84 pw
room 3 - rented at £73.84 pw
room 4 - rented at £73.84 pw
room 5 - rented at £73.84 pw
room 6 - rented at £73.84 pw
room 7 - rented at £64.61 pw
current income = £2,200 pcm = £26,400 per annum",21%,"£225,000","£270,000",17%,"£1,182","£4,000","£26,400",,"£70,000"
70,"High Street, Mold, CH7 1BJ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=361," 1 -  at £350 pcm
flat 2 - rented at £350 pcm
flat 3 - rented at £360 pcm
current income fully let = £1,060 pcm = £12,720 per annum
having reviewed the local rental market, the current rents are below the average market rent. we believe there is room to increase the rents as per the below:
flat 1 - potential to increase to £380 pcm
flat 2 - potential to increase to £380 pcm
flat 3 - potential to increase to £380 pcm
potential income with increased rents = £1,140 pcm = £13,680 per annum",23%,"£120,000",,,£760,"£4,000",,,"£38,600"
71,"Mellalieu Street, Middleton, M24 5DN",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=384," 8  are currently let out for an average of £478.75 pcm producing £3,830 monthly and £45,960 annually.
room 1 – rented to working professional at £495 per month
room 2 – rented to working professional at £450 per month
room 3 – rented to working professional at £400 per month
room 4 – rented to working professional at £495 per month
room 5 – rented to working professional at £495 per month
room 6 – rented to working professional at £495 per month
room 7 – rented to working professional at £550 per month
room 8 – rented to working professional at £450 per month
current income = £3,830 pcm = £45,960 per annum",139%,"5£525,000(immediatebenefitplusanycapitalupliftinfuture)",,,,"£5,000",,,"£7,350"
72,"Landmark Place, Church Way, Cardiff, CF10 2HT",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=381,"  can potentially generate an income as is of:
£1,200 pcm = £14,400 per annum
potential rental as a single let : £1,200 pcm = £14,400 per annum",17%,"£150,000","£195,000",23%,£675,"£3,000",,"£14,400","£46,500"
73,"Heslop Street, Close House, Bishop Auckland, Durham, DL14 8RU",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=379,"2   the 3 properties are currently rented out, with the third recently becoming vacant and undergoing a cosmetic uplift.
current rental are as follows:
property 1 - (heslop street) - currently vacant - previously rented at £450 per month directly to vendor
property 2 - (howlish view) - rented at £425 per month - council pays directly to vendor
property 3 - (south row) - rented at £395 per month - council pays directly to vendor
current income = £820pcm = £9,840 per annum
potential income (all properties tenanted) = £1,270pcm = £15,240 per annum",35%,"£101,160",,,"£1,017","£6,000",,,"£35,325"
74,"Macaulay Street, Grimsby, DN31 2DU",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=378," , two bedroom properties in this area and in good condition let for £450 pcm producing £5,400 annually. ",16%,"£43,000","£70,000",,,"£3,000",,"£5,400","£26,040"
75,LEEDS & BARNSLEY AREAS,https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=377,,,"£440,000",,,,-,,,
76,"Pield Heath Road, Uxbridge, UB8 3NL",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=366,,88%,,,,,"£4,500",,,
77,"Cleethorpe Road / Freeman Street, Grimsby, DN32 7AA",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=373,"  currently generates:
ground floor rented at £98 pw
flat a - (33 sqm) - 1 bed rented at £60 pw
flat b - (33 sqm) - 1 bed rented at £60 pw 
flat d - (38 sqm) - 1 bed rented at £65 pw 
flat e - (61 sqm) - 2 bed rented at £80 pw 
flat f - (40 sqm) - 1 bed rented at £65 pw
flat g - (61 sqm) - 2 bed rented at £65 pw 
flat h - (40 sqm) - 1 bed rented at £65 pw 
flat i - (60 sqm) - 2 bed rented at £85 pw
rent fully let = £2,786 pcm = £33,436 per annum",23%,"£320,000","£430,000",26%,"£1,786","£6,000","£33,436",,"£92,500"
78,"Chichester Street, Chester, CH1 4AD",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=371,"  is currently tenanted and producing:
single rooms are currently achieving £95pw/ £411pm
double rooms are currently achieving £105pw/£455pm
one double is achieving £109pw / £475pm
current total income = £4,485 pcm = £53,820 per annum",25%,"£410,000","£500,000+",18%,"£2,810","£8,000",,,"£134,300"
79,"St. Andrew Road, Liverpool, Merseyside, L4 2RJ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=370," :
room 1 - potential rent £300 pcm
room 2 - potential rent £300 pcm
room 3 - potential rent £300 pcm
room 4 - potential rent £300 pcm
room 5 - potential rent £300 pcm
potential income as a 4 bed hmo = £1,500pcm = £18,000 per annum",38%,"£89,000","£110,000",,£952,"£4,000",,,"£29,920"
80,"Edgeworth House, Boundary Road, London, Greater London, NW8 0HR",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=369,"  single let : £1,733 pcm = £20,796 per annum",5%,"£435,000","£500,000",13%,£527,"£6,000",,"£20,800","£140,550"
81,"Windsor Terrace, Fleetwood, Blackpool, FY7 6HH",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=298," 1 - 25 - rented at £368 pcm (working tenant) tenanted since june 19
flat 2 - 18sqm - rented at £346.60 pcm (benefits tenant) tenanted since oct 19
flat 3 - 29sqm - rented at £368 pcm (benefits tenant) tenanted since june 19
flat 4 - 25sqm - currently vacant - previously achieving at £325 pcm
flat 5 - 24sqm - rented at £303.30 pcm (benefits tenant) tenanted since june 19
current income fully let = £1,710.90 pcm = £20,530.80 per annum",31%,"£160,000","£240,000",33%,"£1,311","£5,000",,,
82,"The Ridgeway, Erdington, Birmingham, B23 7TH",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=365,"  can potentially be used as a hmo in which case please see figures below:
room 1 = potential to achieve £85 pw = £368 pcm
room 2 = potential to achieve £85 pw = £368 pcm
room 3 = potential to achieve £85 pw = £368 pcm
room 4 = potential to achieve £65 pw = £282 pcm
which would then achieve a potential income of £1,386 pcm = £16,632 per annum
or as a single let you would achieve rental figure of:
£800 pcm = £9,600 per annum",17%,"£165,000","£180,000+",,£713,"£3,000",,"£16,632","£51,000"
83,"Bilsworth Street, Liverpool, L21 8JF",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=360,"  to a long term tenant at £525 pcm = £6,300 per annum",14%,"£85,000",,,£312,"£2,000","£6,3007.4%",,"£26,800"
84,"Lander Road, Liverpool, L21 8JB",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=359,"  to a long term tenant at £525 pcm = £6,300 per annum",17%,"£75,000",,,£337,"£2,000","£6,3008.4%",,"£24,000"
85,"Vermont Street, Hull, HU5 1NG",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=342,"  was previously rented out as follows:
room 1 - previously rented for £75 pw
room 2 - previously rented for £75 pw
room 3 - previously rented for £75 pw
room 4 - previously rented for £75 pw
room 5 - previously rented for £75 pw
room 6 - previously rented for £75 pw
potential income fully let = £1,950 pcm =  £23,400 per annum ",34%,"£135,000","£160,000",19%,"£1,222","£4,000",,"£23,400","£43,000"
86,"Bouverie Street, Chester, CH1 4HF",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=355,"  is fully let for the current academic year & has also secured 8 tenants for the following academic year also. it is currently rented out as follows:
room 1 – currently rented at £105 pw
room 2 – currently rented at £105 pw
room 3 – currently rented at £100 pw
room 4 – currently rented at £100 pw
room 5 – currently rented at £90 pw
room 6 – currently rented at £95 pw
room 7 – currently rented at £105 pw
room 8 – currently rented at £105 pw
current income = £3,488 pcm = £41,860 per annum",21%,"£370,000",,,"£2,043","£5,000","£42,000",,"£118,100"
87,"Front Street, Hoghton-le-Spring Sunderland, DH4 6LR",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=354,"  could continue to be rented out as commercial units and generate £2,200 per month.
the property has the potential to be converted to 8 studio apartments which would rent out at an average of £3,330 pcm gross = £39,960 annually.
studio 1 - potential to rent at £420pcm
studio 2 - potential to rent at £420pcm
studio 3 - potential to rent at £420pcm
studio 4 - potential to rent at £420pcm
studio 5 - potential to rent at £400pcm
studio 6 - potential to rent at £400pcm
studio 7 - potential to rent at £400pcm
studio 8 - potential to rent at £450pcm",60%,"£200,000",,,"£2,830","£5,000",,"£33,390","£57,000"
88,"North Road East, Plymouth, PL4 6AN",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=350,"  is currently fully let till august 2020 as follows:
room 1 – rented for £95 pw
room 2 – rented for £90 pw
room 3 – rented for £90 pw
room 4 – rented for £90 pw
room 5 – rented for £87 pw
room 6 – rented for £85 pw
current income = £2,327 pcm = £27,924 per annum",21%,"£240,000",,,"£1,337","£5,000",,"£27,924","£75,500"
89,"Wolsdon Street, Plymouth, PL1 5EH",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=348,"  is currently vacant as the vendors decided to sell.
however it has been a hmo for over 14 years providing excellent returns.
room 1 – ensuite can achieve £110pw
room 2 – can achieve £95pw
room 3 – can achieve £100pw
room 4 – can achieve £100pw
room 5 – can achieve £100pw
room 6 – can achieve £100pw
room 7 - can achieve £100pw
potential income = £3,055 pcm = £36,660 per annum",37%,"£210,000","£260,000",,"£2,075","£5,000",,"£36,660","£66,500"
90,"Vermont Street, Hull, HU5 1NG",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=343,"  was previously rented out as follows:
room 1 - previously rented for £75 pw
room 2 - previously rented for £75 pw
room 3 - previously rented for £75 pw
room 4 - previously rented for £75 pw
room 5 - previously rented for £75 pw
room 6 - previously rented for £75 pw
potential income fully let = £1,950 pcm =  £23,400 per annum ",36%,"£129,750","£160,000",19%,"£1,950","£4,000",,"£23,400","£41,425"
91,"Grass Street, Darlington, DL1 2HJ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=346,"  to a long term tenant at £350 pcm = £4,200 per annum",17%,"£46,000","£65,000",30%,£228,"£2,000","£4,200",,"£15,880"
92,"De Grey Street, Hull, HU5 2RY",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=344," 8  were previously rented out as follows:
room 1 - previously rented for £75 pw
room 2 - previously rented for £75 pw
room 3 - previously rented for £75 pw
room 4 - previously rented for £75 pw
room 5 - previously rented for £75 pw
room 6 - previously rented for £75 pw
room 7 - previously rented for £75 pw
room 8 - previously rented for £75 pw
potential income fully let = £2,600 pcm =  £31,200 per annum ",38%,"£164,950","£220,000+",25%,"£1,668","£5,000",,"£31,200","£52,985"
93,"Alexandra Road, Mutley, Plymouth, PL4 7EH",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=340,"  is partially let as a 6 bed hmo as follows:
room 1 - £96 pw (rented to working professional on rolling contract)
room 2 - vacant, previously let for £96 pw
room 3 - £101 pw (rented to working professional on rolling contract)
room 4 - vacant, previously let for £75 pw
room 5 - vacant, previously let for £105 pw
room 6 - vacant, previously let for £96 pw
potential income when fully let (6 bed hmo) = £2,465 pcm
= £29,580 per annum
potential income when fully let (7 bed hmo) = £2,812 pcm
= £33,748 per annum",28%,"£245,000",,,"£1,809","£5,000",,"£41,600","£77,000"
94,"Villette Road, Sunderland, SR2 8RP",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=337,"  the existing building :
shop = £1,000 pcm = £12,000 per annum
the 1 bed flat would rent £450 pcm = £5,400 per annum.
potential rental = £1,450 pcm = £17,400 per annum
potential rental
rental income 4 studios @ average £100 per week = £20,800 per annum
rental income from shop @average £500pcm = £6,000 per annum
potential rental = £2,233 pcm = £26,800 per annum",49%,"£95,000","£125,000",24%,"£1,213","£5,000","£17,400","£26,800","£29,750"
95,"Tomlins Walk, Finsbury Park, London, N7 7RP",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=338,"  is currently let to 4 sharers on one tenancy agreement.
currently tenanted at £2,400pcm = £28,800 per annum",9%,"£500,000",,,"£1,150","£5,000","£28,800",,"£161,000"
96,"Paget Street, Wolverhampton, WV1 4AR",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=262,"  = £580 pcm £6,960 per annum
modernised : as a single let, the property would generate : £700pcm = £8,400 per annum
1 bedroom flat would generate : £425 pcm = £5,100 per annum
2 bedroom flat would generate : £475 pcm = £5,700 per annum
potential income as flats = £900 pcm = £10,800 per annum",,"£110,000",,,£612,"£4,000",,,"£55,800"
97,"Druid Street, Hinckley, Leicestershire, LE10 1QQ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=328,"  is currently rented out as follows:
room 1 – rented for £80 pw
room 2 – rented for £80 pw
room 3 – rented for £80 pw
room 4 – vacant – previously rented for £80 pw
room 5 – vacant – previously rented for £86.50 pw
room 6 – rented for £92.50 pw
income when fully let = £2,162 pcm = £25,948 per annum
however with some refurb work, we envisage the property could easily achieve in excess of £100 pcm per room – in line with market rents within the area.
potential income when fully let = £2,600 pcm = £31,200 per annum",27%,"£230,000",,,"£1,635","£5,000","£26,000",,"£72,500"
98,"Plough Stores, Victoria Road, Bagillt, CH6 6JB",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=327,"  are rented as follows:
flat 1 = 3 bed flat (77sqm) = rented at £600 pcm = £7,200 per annum
flat 2 = 2 bed flat (57 sqm) = rented at £425 pcm = £5,100 per annum
flat 3 = 1 bed flat (35 sqm) = rented at £375 pcm = £4,500 per annum
current income = £1,400 pcm = £16,800 per annum
the building sits in a large plot which the vendor previously gained planning permission on to develop 6 x 4 bedroom semi-detached properties.
a local estate agent has looked at the lapsed planning and advised that demand for family homes is very strong in the area the properties are well laid out and should achieve £170,000 each.
there is a massive opportunity to create a huge amount of value in this property - as the property is currently income generating, submit a planning application for the 6 x 4 bedroom properties.
once the planning has been granted, there is opportunity to either:
development the site and benefit from capital growth
simply sell the site with the new planning permission",,"£195,000",,,£920,"£5,000",,,"£73,750"
99,"Fairfield Road, Buxton, Derbyshire, SK17 7HA",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=209,"  :
room 1 - £411 pcm bills inclusive
room 2 - £411 pcm bills inclusive
room 3 - £433 pcm bills inclusive
room 4 - £433 pcm bills inclusive
room 5 - £433 pcm bills inclusive
room 6 - £433 pcm bills inclusive
room 7 - £433 pcm bills inclusive
current income = £2,987 pcm = £35,844 per annum",32%,"£220,000","£290,000",24%,"£1,982","£5,000",,,"£69,500"
100,"London Road, Spalding, Lincolnshire, PE11 2TA",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=325,"  is currently rented out to working professionals as follows:
room 1 – rented for £90 pw
room 2 – rented for £100 pw
room 3 – rented for £110 pw
room 4 – rented for £95 pw
room 5 – rented for £120 pw
room 6 – rented for £95 pw
room 7 – rented for £110 pw
room 8 – rented for £110 pw
room 9 – rented for £95 pw
current income = £4,008 pcm = £48,100 per annum",32%,"£315,000",,,"£2,636","£5,000","£48,100",,"£99,950"
101,"Fairfield Road, Queensferry Deeside, Wales, CH5 1SS",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=324,"  past, the property has been rented out as follows:
room 1 – ensuite - previously rented for £110 pw
room 2 – previously rented for £90pw
room 3 – previously rented for £90pw
room 4 – ensuite - previously rented for £110pw
room 5 – previously rented for £90pw
room 6 – previously rented for £90pw
room 7 – previously rented for £90pw
potential income = £2,903 pcm= £34,840 per annum",30%,"£235,000",,,"£1,861","£5,000",,"£34,840","£74,000"
102,"Shakespeare Street, Long Eaton, Nottingham, NG10 4LW",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=323,"  property has been refurbished throughout to an excellent standard, once vacant, the rooms will easily achieve £92pw
room 1 – can achieve £92 pw
room 2 – can achieve £92 pw
room 3 – can achieve £92 pw
room 4 – can achieve £92 pw
room 5 – can achieve £92 pw
potential income = £1,993 pcm = £23,920 per annum",20%,"£217,500",,,"£1,125","£4,000",,"£23,920","£67,750"
103,"The Thomas Moore Building, 10 Ickenham Road, Ruislip, HA4 7BA",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=277,"  = £1,500 pcm = £18,000 per annum",6%,"£323,000","£350,000+",,£523,"£3,000",,,"£100,590"
104,"Reansway Square, Whitmore Reans, Wolverhampton, WV6 0EY",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=321,"  at £500pcm = £6,000 per annum",10%,"£115,000","£130,000",,£285,"£2,000",,,"£35,200"
105,"Hessle Road, Hull, HU3 3SD",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=170,"  unit is let on a 5 year lease generating £650 pcm since 03 october 2018.
each 3 bed flat is rented for £465 pcm
this is very sustainable in this location in hull. based upon our experience (we have experienced contacts on the ground in hull)
current income =
commercial unit = £650 pcm
flat no 1 = £465 pcm - working tenant
flat no 2 = £465 pcm - working tenant
current income = £1,580 pcm = £18,960 per annum",25%,,,,"£1,180","£5,000",,,"£57,300"
106,"Horace Street, Boston, Lincolnshire, PE21 8PD",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=318,"  is currently rented out as follows:
room 1 – rented for £110 pw
room 2 – rented for £80 pw
room 3 – rented for £120 pw
room 4 – rented for £120 pw
current income = £1,863 pcm = £22,360 per annum",31%,"£145,000",,,"£1,175","£4,000","£22,360",,"£46,000"
107,"Granville Street, Boston, Lincolnshire, PE21 8PG",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=317,"  is currently rented out as follows:
room 1 – rented for £80 pw
room 2 – rented for £70 pw
room 3 – rented for £120 pw
room 4 – rented for £110 pw
room 5 – rented for £80 pw
current income = £1,933 pcm = £23,920 per annum",29%,"£160,000",,,"£1,208","£4,000","£23,290",,"£50,500"
108,"Palmerston Road, Woodston, Peterborough, PE2 9DG",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=316,"  is currently rented out as follows:
room 1 – rented for £80 pw
room 2 – rented for £75 pw
room 3 – rented for £70 pw
room 4 – vacant – previously rented for £75 pw
room 5 – vacant – previously rented for £75 pw
room 6 – ensuite - vacant – previously rented for £105 pw
current income fully let = £2,080 pcm = £24,960 per annum",18%,"£230,000",,,"£1,050","£4,000","£24,900",,"£71,500"
109,"Rocky Lane, Liverpool, L6 4BB",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=315,,23%,"£220,000","£250,000",12%,"£1,342","£5,000",,"£29,000","£71,000"
110,"Newton Street, Ferryhill, DL17 8PW",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=143,"  flats are rented, producing £16,224 annually.
flat 17 - £350pcm - working tenant
flat 17b - £325pcm - benefit tenant
flat 19 - £350pcm - benefit tenant
flat 19b - £325pcm - benefit tenant
potential income = £1,350 pcm = £16,200 per annum",41%,"£100,000","£130,000",23%,"£1,100","£3,000",,"£16,224","£32,000"
111,"Brighton Grove, Newcastle Upon Tyne, NE4 5NT",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=310," :
potential income:
room 1 – potential rent £380 pcm
room 2 – potential rent £380 pcm
room 3 – potential rent £380 pcm
room 4 – potential rent £380 pcm
room 5 – potential rent £380 pcm
room 6 – potential rent £380 pcm
room 7 – potential rent £320 pcm
room 8 – potential rent £320 pcm 
potential income when fully let = £2,920 pcm = £35,040 per annum ",36%,"£199,500","£250,000",20%,"£2,920","£5,000",,,"£63,350"
112,"Abbotsbury, Bracknell, Berkshire, RG12 8QX",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=306,"  income:
room 1 – currently rented at £540pcm
room 2 – currently rented at £450pcm
room 3 – currently rented at £525pcm
room 4 – currently rented at £465pcm
room 5 - currently rented at £525pcm
current income = £2,505 pcm = £30,060 per annum",17%,"£324,999",,,"£1,432","£5,000","£30,060",,"£103,249"
113,"Suffolk Street, Hull, HU5 1PJ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=285,"  was previously rented out as follows:
room 1 – previously rented for £80 pw
room 2 – previously rented for £80 pw
room 3 – previously rented for £80 pw
room 4 – previously rented for £80 pw
room 5 – previously rented for £80 pw
potential income fully let = £1,733 pcm = £20,800 per annum",34%,"£122,000","£145,000",16%,"£1,103","£4,000",,,"£39,160"
114,"Chilton Street, Bridgwater TA6 3HX",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=284," 5  are rented out as follows.
room 1 – rented for £120 pw
room 2 – rented for £120 pw
room 3 – rented for £120 pw
room 4 – rented for £120 pw
room 5 – rented for £120 pw
current income = £2,600pcm = £31,200 per annum",28%,"£230,000",,,"£1,700","£5,000",,,"£72,500"
115,"Methodist Church, Balby Road, Doncaster, DN4 8RF",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=106," 1  to be rented at £450pcm (88m2)
flat 2 potential to be rented at £400pcm (36m2)
flat 3 potential to be rented at £400pcm (36m2)
flat 4 potential to be rented at £400pcm (34m2)
flat 5 potential to be rented at £400pcm (39m2)
flat 6 potential to be rented at £400pcm (36m2)
flat 7 potential to be rented at £400pcm (36m2)
flat 8 potential to be rented at £400pcm (34m2)
flat 9 potential to be rented at £400pcm (39m2)
flat 10 potential to be rented at £450pcm (89m2)
potential income once developed = £4,100 pcm = £49,200 per annum",,"£200,000",,44%,"£3,600","£6,000",,"£49,200","£67,000"
116,"Tabernacle Church, Coleshill Street, Holywell, CH8 7UP",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=269,,,,,37%,,"£4,000",,,"£28,800"
